,Date,Open,High,Low,Close,Volume,Market Cap,day_diff,up_or_down
0,2018-01-21,12889.2,12895.9,11288.2,11600.1,9935180000,216740000000,0.801828699384,1289.1
1,2018-01-20,11656.2,13103.0,11656.2,12899.2,11801700000,195979000000,-0.859137406691,-1243.0
2,2018-01-19,11429.8,11992.8,11172.1,11607.4,10740400000,192150000000,-0.216400633605,-177.6
3,2018-01-18,11198.8,12107.3,10942.5,11474.9,15020400000,188242000000,-0.237036401099,-276.1
4,2018-01-17,11431.1,11678.0,9402.29,11188.6,18830600000,192123000000,0.106560150459,242.5
5,2018-01-16,13836.1,13843.1,10194.9,11490.5,18853800000,232517000000,0.642947206842,2345.6
6,2018-01-15,13767.3,14445.5,13641.7,13819.8,12750800000,231334000000,-0.0653147549142,-52.5
7,2018-01-14,14370.8,14511.8,13268.0,13772.0,11084100000,241447000000,0.481427882296,598.8
8,2018-01-13,13952.4,14659.5,13952.4,14360.2,12763600000,234391000000,-0.576721821525,-407.8
9,2018-01-12,13453.9,14229.9,13158.1,13980.6,12065700000,225986000000,-0.491416309013,-526.7
10,2018-01-11,14968.2,15018.8,13105.9,13405.8,16534100000,251387000000,0.816770348685,1562.4
11,2018-01-10,14588.5,14973.3,13691.2,14973.3,18500800000,244981000000,-0.300132594961,-384.8
12,2018-01-09,15123.7,15497.5,14424.0,14595.4,16660000000,253935000000,0.492128551467,528.3
13,2018-01-08,16476.2,16537.9,14208.2,15170.1,18413900000,276612000000,0.56063012405,1306.1
14,2018-01-07,17527.3,17579.6,16087.7,16477.6,15866000000,294222000000,0.70359943696,1049.7
15,2018-01-06,17462.1,17712.4,16764.6,17527.0,18314600000,293091000000,-0.0684743616797,-64.9
16,2018-01-05,15477.2,17705.2,15202.8,17429.5,23840900000,259748000000,-0.780171035806,-1952.3
17,2018-01-04,15270.7,15739.7,14522.2,15599.2,21783200000,256250000000,-0.269815195072,-328.5
18,2018-01-03,14978.2,15572.8,14844.5,15201.0,16871900000,251312000000,-0.305917890979,-222.8
19,2018-01-02,13625.0,15444.6,13163.6,14982.1,16846600000,228579000000,-0.5949583516,-1357.1
20,2018-01-01,14112.2,14112.2,13154.7,13657.2,10291200000,236725000000,0.475195822454,455.0
21,2017-12-31,12897.7,14377.4,12755.6,14156.4,12136300000,216326000000,-0.776112960908,-1258.7
22,2017-12-30,14681.9,14681.9,12350.1,12952.2,14452600000,246224000000,0.741787460331,1729.7
23,2017-12-29,14695.8,15279.0,14307.0,14656.2,13025500000,246428000000,0.0407407407407,39.6
24,2017-12-28,15864.1,15888.4,13937.3,14606.5,12336500000,265988000000,0.644559479268,1257.6
25,2017-12-27,16163.5,16930.9,15114.3,15838.5,12487600000,270976000000,0.178905647914,325.0
26,2017-12-26,14036.6,16461.2,14028.9,16099.8,13454300000,235294000000,-0.848250626979,-2063.2
27,2017-12-25,13995.9,14593.0,13448.9,14026.6,10664700000,234590000000,-0.0268333187658,-30.7
28,2017-12-24,14608.2,14626.0,12747.7,13925.8,11572300000,244824000000,0.363307245914,682.4
29,2017-12-23,13948.7,15603.2,13828.8,14699.2,13086000000,233748000000,-0.42295987376,-750.5
30,2017-12-22,15898.0,15943.4,11833.0,13831.8,22198000000,266381000000,0.502676138575,2066.2
31,2017-12-21,16642.4,17567.7,15342.7,15802.9,16516600000,278827000000,0.377303370787,839.5
